Season,Name,Team,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,FGA,FG%,3PG,3FGA,3FG%,FTA,FT%,REB,RPG,AST,APG,BLKS,BKPG,ST,STPG,TO,Ratio,Trpl Dbl,Dbl Dbl,MP,MPG,ORebs,DRebs
2008-2009,Demarco Stepter,UTSA,Jr.,6-7,F,27,,,,,,,,,,,,,152,5.6,,,,,,,,,,,,,,
2008-2009,Demetri McCamey,Illinois,So.,6-3,G,34,,56,,,,,,1.6,,,,,,,156,4.6,,,,,83,1.88,,,,,,
2008-2009,Demetrius Monroe,Idaho St.,Jr.,6-8,F,24,,,,,,,,,,,,,128,5.3,,,,,,,,,,,,,,
2008-2009,Demetrius Nelson,The Citadel,Sr.,6-8,F,33,183,0,174,540,16.4,307,59.6,,,,225,77.3,215,6.5,,,,,,,,,,,,,,
2008-2009,Demond Watt,A&M-Corpus Christi,So.,6-7,F,29,,,,,,,,,,,,,186,6.4,,,37,1.3,,,,,,,,,,
2008-2009,Demonte Harper,Morehead St.,So.,6-4,G,36,,,,,,,,,,,,,,,124,3.4,25,0.7,43,1.2,136,0.91,,,,,,
2008-2009,Demontez Stitt,Clemson,So.,6-2,G,32,,,,,,,,,,,,,,,121,3.8,,,48,1.5,81,1.49,,,,,,
2008-2009,Denis Clemente,Kansas St.,Jr.,6-1,G,32,167,59,87,480,15.0,412,40.5,1.8,,,109,79.8,,,112,3.5,,,,,84,1.33,,,,,,
2008-2009,Deon Thompson,North Carolina,Jr.,6-8,F,38,,,,,,,,,,,,,216,5.7,,,40,1.1,,,,,,,,,,
2008-2009,Deonta Vaughn,Cincinnati,Jr.,6-1,G,32,155,81,97,488,15.3,,,2.5,240,33.8,120,80.8,,,149,4.7,,,43,1.3,107,1.39,,,,,,
2008-2009,Derek Drews,Western Mich.,Sr.,6-5,F,31,,46,,,,,,1.5,,,,,,,,,,,,,,,,,,,,
2008-2009,Derek Glasser,Arizona St.,Jr.,6-1,G,34,,,89,,,,,,,,107,83.2,,,162,4.8,,,,,74,2.19,,,,,,
2008-2009,Derek Johnson,Prairie View,Sr.,6-1,G,33,,,107,,,,,,,,168,63.7,,,,,,,61,1.8,,,,,,,,
2008-2009,Derek Williams,SMU,Jr.,6-1,G,30,135,31,79,380,12.7,,,,,,109,72.5,,,105,3.5,,,,,78,1.35,,,,,,
2008-2009,Derrick Brown,Xavier,Jr.,6-8,F,35,170,39,100,479,13.7,,,,,,135,74.1,212,6.1,,,30,0.9,,,,,,,,,,
2008-2009,Derrick Mercer,American,Sr.,5-9,G,32,,,,,,,,,,,,,,,140,4.4,,,37,1.2,71,1.97,,,,,,
2008-2009,Derrick O'Neil,FGCU,Jr.,6-5,F,31,,,84,,,,,,,,134,62.7,226,7.3,77,2.5,,,48,1.5,,,,,,,,
2008-2009,Desmond Jackson,Alabama A&M,So.,6-1,G,27,,,,,,,,,,,,,,,,,,,44,1.6,,,,,,,,
2008-2009,Desmond Wade,Houston,Fr.,5-8,G,33,,,,,,,,,,,,,,,113,3.4,,,47,1.4,41,2.76,,,,,,
2008-2009,Desmond Yates,Middle Tenn.,Jr.,6-7,F,32,228,20,74,550,17.2,394,57.9,,,,,,,,,,,,,,,,,,,,,
2008-2009,Devan Bawinkel,Iowa,Jr.,6-5,G,32,,51,,,,,,1.6,,,,,,,,,,,,,,,,,,,,
2008-2009,Devan Downey,South Carolina,Jr.,5-9,G,31,231,52,100,614,19.8,527,43.8,1.7,,,134,74.6,,,140,4.5,,,89,2.9,108,1.30,,,,,,
2008-2009,Devan Dumes,Indiana,Jr.,6-2,G,27,109,59,67,344,12.7,,,2.2,,,,,,,,,,,,,,,,,,,,
2008-2009,Devin Ebanks,West Virginia,Fr.,6-9,F,35,,,98,,,,,,,,140,70.0,273,7.8,93,2.7,25,0.7,,,,,,,,,,
2008-2009,Devin Gibson,UTSA,So.,6-1,G,27,97,22,117,333,12.3,,,,,,156,75.0,,,90,3.3,,,82,3.0,60,1.50,,,,,,
2008-2009,Devin Hill,DePaul,Fr.,6-9,F,31,,,,,,,,,,,,,,,,,38,1.2,,,,,,,,,,
2008-2009,Devin Sweetney,Saint Francis,Jr.,6-6,G,23,131,17,95,374,16.3,294,44.6,,,,139,68.3,181,7.9,,,,,30,1.3,,,,,,,,
2008-2009,Devon Beitzel,Northern Colo.,So.,6-0,G,32,,61,,,,,,1.9,,,,,,,,,,,37,1.2,,,,,,,,
2008-2009,Devon Clarke,Iona,Sr.,6-6,F,31,,,110,,,,,,,,158,69.6,,,,,,,,,,,,,,,,
2008-2009,Devon Moore,James Madison,Fr.,6-4,G,32,,,99,,,,,,,,117,84.6,,,92,2.9,,,,,,,,,,,,
2008-2009,Dexter Moore,Coastal Carolina,Fr.,6-1,G,29,,45,,,,,,1.6,,,,,,,,,,,,,,,,,,,,
2008-2009,Dexter Pittman,Texas,Jr.,6-10,C,35,,,94,,,,,,,,136,69.1,191,5.5,,,33,0.9,,,,,,,,,,
2008-2009,DiJuan Harris,Charlotte,Jr.,5-9,G,31,,,,,,,,,,,,,,,223,7.2,,,46,1.5,76,2.93,,,,,,
2008-2009,Diamon Simpson,Saint Mary's (CA),Sr.,6-7,F,35,162,3,156,483,13.8,,,,,,,,377,10.8,,,57,1.6,61,1.7,,,,,,,,
2008-2009,Diante Garrett,Iowa St.,So.,6-4,G,32,,,82,,,,,,,,116,70.7,,,161,5.0,,,,,97,1.66,,,,,,
2008-2009,Diego Kapelan,McNeese,Jr.,6-2,G,29,,70,,,,,,2.4,,,,,,,,,,,,,,,,,,,,
2008-2009,Dinma Odiakosa,Illinois St.,Jr.,6-8,F,34,,,,,,,,,,,,,256,7.5,,,21,0.6,,,,,,,,,,
2008-2009,Dino Gregory,Maryland,So.,6-7,F,35,,,,,,,,,,,,,,,,,34,1.0,,,,,,,,,,
2008-2009,Dionte Christmas,Temple,Sr.,6-5,G,34,218,107,119,662,19.5,527,41.4,3.1,304,35.2,158,75.3,197,5.8,98,2.9,,,51,1.5,,,,,,,,
2008-2009,Dior Lowhorn,San Francisco,Jr.,6-7,F,30,231,38,104,604,20.1,478,48.3,,,,153,68.0,207,6.9,,,,,,,,,,,,,,
